iter	Passed	Remaining
398	39740	59859
399	39824	59736
400	39895	59594
401	39980	59473
402	40081	59376
403	40168	59259
404	40245	59126
405	40322	58993
406	40396	58857
407	40489	58749
408	40572	58627
409	40674	58531
410	40772	58429
411	40866	58324
412	40943	58193
413	41014	58054
414	41114	57956
415	41228	57878
416	41344	57803
417	41450	57713
418	41565	57635
419	41676	57552
420	41809	57500
421	41911	57404
422	41990	57277
423	42052	57128
424	42142	57016
425	42230	56901
426	42307	56772
427	42374	56631
428	42454	56506
429	42534	56382
430	42607	56249
431	42712	56158
432	42826	56080
433	42935	55994
434	43023	55880
435	43146	55812
436	43283	55763
437	43418	55710
438	43554	55658
439	43747	55678
440	43856	55591
441	44054	55616
442	44183	55553
443	44315	55494
444	44444	55430
445	44536	55320
446	44616	55196
447	44707	55086
448	44784	54958
449	44863	54832
450	44936	54700
451	45001	54559
452	45078	54432
453	45152	54302
454	45223	54169
455	45293	54034
456	45377	53917
457	45461	53799
458	45547	53684
459	45630	53566
460	45707	53440
461	45782	53313
462	45864	53194
463	46068	53216
464	46175	53126
465	46280	53033
466	46385	52941
467	46506	52866
468	46627	52791
469	46720	52684
470	46826	52592
471	46938	52507
472	47059	52432
473	47162	52335
474	47262	52237
475	47346	52120
476	47454	52030
477	47548	51925
478	47631	51808
479	47719	51695
480	47817	51595
481	47906	51485
482	48008	51387
483	48095	51275
484	48177	51157
485	48273	51054
486	48360	50942
487	48454	50837
488	48574	50759
489	48662	50648
490	48742	50529
491	48833	50421
492	48921	50311
493	48996	50187
494	49077	50068
495	49177	49971
496	49280	49875
497	49370	49767
498	49454	49652
499	49545	49545
500	49637	49439
501	49714	49318
502	49795	49201
503	49878	49086
504	49959	48970
505	50046	48859
506	50144	48759
507	50244	48662
508	50410	48628
509	50535	48553
510	50645	48465
511	50737	48359
512	50832	48256
513	50955	48179
514	51028	48055
515	51115	47945
516	51197	47830
517	51290	47725
518	51385	47622
519	51476	47517
520	51563	47406
521	51664	47309
522	51765	47212
523	51867	47115
524	51942	46996
525	52020	46877
526	52119	46779
527	52219	46680
528	52332	46594
529	52456	46517
530	52571	46433
531	52789	46438
532	52892	46343
533	53023	46271
534	53152	46198
535	53326	46163
536	53483	46113
537	53624	46049
538	53726	45952
539	53813	45841
540	53906	45736
541	53998	45629
542	54078	45513
543	54158	45397
544	54237	45281
545	54310	45159
546	54408	45058
547	54486	44941
548	54553	44815
549	54664	44725
550	54744	44610
551	54824	44494
552	54920	44393
553	54992	44271
554	55078	44162
555	55142	44034
556	55215	43914
557	55284	43791
558	55378	43688
559	55454	43571
560	55561	43478
561	55660	43379
562	55748	43272
563	55841	43168
564	55946	43073
565	56055	42982
566	56159	42886
567	56267	42795
568	56359	42690
569	56467	42598
570	56560	42495
571	56674	42406
572	56758	42296
573	56844	42188
574	56911	42064
575	56985	41947
576	57058	41829
577	57133	41713
578	57227	41610
579	57308	41499
580	57384	41383
581	57463	41270
582	57551	41164
583	57633	41054
584	57734	40956
585	57817	40847
586	57898	40736
587	57977	40623
588	58057	40511
589	58160	40416
590	58241	40305
591	58326	40198
592	58407	40087
593	58508	39990
594	58593	39883
595	58681	39777
596	58769	39671
597	58880	39581
598	59093	39560
599	59227	39485
600	59363	39410
601	59474	39320
602	59566	39217
603	59678	39126
604	59831	39063
605	59977	38995
606	60211	38983
607	60427	38959
608	60678	38957
609	60878	38922
610	61044	38864
611	61178	38786
612	61321	38713
613	61467	38642
614	61599	38562
615	61773	38508
616	61939	38448
617	62078	38371
618	62228	38302
619	62383	38234
620	62553	38176
621	62687	38096
622	62849	38032
623	62981	37950
624	63166	37899
625	63326	37834
626	63479	37763
627	63600	37674
628	63740	37595
629	63859	37504
630	63986	37418
631	64115	37332
632	64270	37262
633	64395	37174
634	64534	37094
635	64655	37004
636	64842	36951
637	65001	36881
638	65181	36824
639	65313	36738
640	65471	36667
641	65595	36578
642	65786	36525
643	65944	36453
644	66285	36482
645	66568	36478
646	66763	36425
647	66925	36354
648	67096	36287
649	67313	36245
650	67520	36197
651	67690	36129
652	67826	36042
653	67957	35953
654	68084	35861
655	68199	35763
656	68294	35654
657	68399	35550
658	68494	35442
659	68611	35345
660	68748	35258
661	68906	35181
662	69038	35091
663	69138	34985
664	69250	34885
665	69367	34787
666	69458	34677
667	69565	34574
668	69654	34462
669	69749	34354
670	69853	34250
671	69968	34151
672	70095	34058
673	70228	33968
674	70333	33864
675	70449	33765
676	70589	33678
677	70714	33584
678	70837	33488
679	70964	33394
680	71065	33289
681	71198	33197
