iter	Logloss
0	0.6675204707
1	0.64620802
2	0.6284133827
3	0.6126194402
4	0.5996870042
5	0.5885434611
6	0.5799311119
7	0.571958887
8	0.5650656839
9	0.5591374006
10	0.5539036838
11	0.5493842633
12	0.5457741018
13	0.5421700935
14	0.5394281818
15	0.5372253507
16	0.5348418539
17	0.5330081676
18	0.5311082419
19	0.5294387854
20	0.5278574649
21	0.5267408347
22	0.5257286363
23	0.524714191
24	0.523616768
25	0.5226282903
26	0.5217548408
27	0.5210012618
28	0.5201850721
29	0.5193224373
30	0.5187286319
31	0.5180159417
32	0.5172802468
33	0.5167240316
34	0.5161428253
35	0.5156280687
36	0.5150361382
37	0.5144770894
38	0.5140069463
39	0.5135893167
40	0.5131937561
41	0.5126605687
42	0.5122617559
43	0.5117775487
44	0.5113793623
45	0.5109953425
46	0.5105793362
47	0.5102278721
48	0.5099471975
49	0.5096028734
50	0.5093297913
51	0.5090095382
52	0.5085813749
53	0.5081164038
54	0.5077733889
55	0.5076153071
56	0.5072491121
57	0.5067888253
58	0.5064643236
59	0.5061747606
60	0.5058190366
61	0.5054778535
62	0.5051925588
63	0.5048176965
64	0.5043980411
65	0.5041650287
66	0.503918918
67	0.5036116229
68	0.5032826429
69	0.5029520106
70	0.5027583341
71	0.5024724243
72	0.5020666528
73	0.5017696725
74	0.5014906897
75	0.501065964
76	0.5007359983
77	0.5004280844
78	0.5000458846
79	0.4997985019
80	0.4995156714
81	0.4992683955
82	0.4990080088
83	0.4988583231
84	0.4986082439
85	0.4981620737
86	0.4978957488
87	0.4976080977
88	0.4973068546
89	0.4970330666
90	0.4967392043
91	0.4965292005
92	0.4961932816
93	0.4958823005
94	0.4957467063
95	0.4955960974
96	0.4952400142
97	0.4950929812
98	0.4947488001
99	0.4944856038
100	0.4941819628
101	0.4939757364
102	0.4937256415
103	0.4933720364
104	0.4931466837
105	0.4928637178
106	0.4925460338
107	0.4923059765
108	0.4920822108
109	0.4918459267
110	0.4916782955
111	0.4914254329
112	0.4911702733
113	0.4910047879
114	0.4907974311
115	0.4905510416
116	0.4903106249
